,match_id,innings,venue,season,batting_team,bowling_team,batsmen,bolwers,run
0,829733.0,1.0,Maharashtra Cricket Association Stadium,2015.0,Kings XI Punjab,Kolkata Knight Riders,GJ Maxwell:WP Saha:GJ Bailey:M Vijay:V Sehwag:,M Morkel:AD Russell:UT Yadav:,48.0
1,829733.0,2.0,Maharashtra Cricket Association Stadium,2015.0,Kolkata Knight Riders,Kings XI Punjab,SA Yadav:RV Uthappa:MK Pandey:G Gambhir:,MG Johnson:Anureet Singh:Sandeep Sharma:,53.0
2,829735.0,1.0,"Sardar Patel Stadium, Motera",2015.0,Chennai Super Kings,Rajasthan Royals,BB McCullum:F du Plessis:DR Smith:SK Raina:,Ankit Sharma:CH Morris:DJ Hooda:JP Faulkner:PV Tambe:,39.0
3,829735.0,2.0,"Sardar Patel Stadium, Motera",2015.0,Rajasthan Royals,Chennai Super Kings,SR Watson:AM Rahane:,IC Pandey:A Nehra:MM Sharma:,47.0
4,829737.0,1.0,M Chinnaswamy Stadium,2015.0,Mumbai Indians,Royal Challengers Bangalore,LMP Simmons:PA Patel:UBT Chand:,VR Aaron:D Wiese:Iqbal Abdulla:AN Ahmed:,48.0
5,829737.0,2.0,M Chinnaswamy Stadium,2015.0,Royal Challengers Bangalore,Mumbai Indians,CH Gayle:MS Bisla:V Kohli:,MJ McClenaghan:Harbhajan Singh:JJ Bumrah:SL Malinga:,33.0
6,829739.0,1.0,Arun Jaitley Stadium,2015.0,Delhi Daredevils,Kolkata Knight Riders,JP Duminy:MA Agarwal:MK Tiwary:SS Iyer:,M Morkel:SP Narine:AD Russell:UT Yadav:,34.0
7,829739.0,2.0,Arun Jaitley Stadium,2015.0,Kolkata Knight Riders,Delhi Daredevils,SA Yadav:RV Uthappa:MK Pandey:G Gambhir:,NM Coulter-Nile:DJ Muthuswami:AD Mathews:,48.0
8,829741.0,1.0,"Sardar Patel Stadium, Motera",2015.0,Rajasthan Royals,Kings XI Punjab,SR Watson:AM Rahane:,MG Johnson:Anureet Singh:Sandeep Sharma:,43.0
9,829741.0,2.0,"Sardar Patel Stadium, Motera",2015.0,Kings XI Punjab,Rajasthan Royals,M Vijay:V Sehwag:SE Marsh:,CH Morris:PV Tambe:JP Faulkner:STR Binny:,40.0
10,829743.0,1.0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2015.0,Sunrisers Hyderabad,Kolkata Knight Riders,S Dhawan:DA Warner:,M Morkel:SP Narine:J Botha:,43.0
11,829743.0,2.0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2015.0,Kolkata Knight Riders,Sunrisers Hyderabad,AD Russell:RV Uthappa:MK Pandey:G Gambhir:,DW Steyn:MC Henriques:KV Sharma:P Kumar:B Kumar:,49.0
12,829745.0,1.0,M Chinnaswamy Stadium,2015.0,Chennai Super Kings,Royal Challengers Bangalore,BB McCullum:DR Smith:SK Raina:,YS Chahal:D Wiese:HV Patel:MA Starc:,45.0
13,829745.0,2.0,M Chinnaswamy Stadium,2015.0,Royal Challengers Bangalore,Chennai Super Kings,V Kohli:KD Karthik:MS Bisla:RR Rossouw:,IC Pandey:A Nehra:MM Sharma:,38.0
14,829747.0,1.0,Arun Jaitley Stadium,2015.0,Delhi Daredevils,Mumbai Indians,JP Duminy:MA Agarwal:SS Iyer:,MJ McClenaghan:Harbhajan Singh:JJ Bumrah:SL Malinga:,45.0
15,829747.0,2.0,Arun Jaitley Stadium,2015.0,Mumbai Indians,Delhi Daredevils,LMP Simmons:PA Patel:UBT Chand:,NM Coulter-Nile:AD Mathews:DJ Muthuswami:JP Duminy:,48.0
